Company Name|Stock Name|Filing Time|New Product|Product Description
Apple Inc.|AAPL|2024-11-01|iPhone 16|The latest model in the iPhone line, featuring advanced technology and capabilities.
Apple Inc.|AAPL|2024-11-01|iPhone 16 Plus|A larger version of the iPhone 16, offering enhanced display and battery life.
Apple Inc.|AAPL|2024-11-01|iPhone 16 Pro|A premium model in the iPhone 16 series, equipped with advanced features and specifications.
Apple Inc.|AAPL|2024-11-01|iPhone 16 Pro Max|The top-tier model in the iPhone 16 series, featuring the largest display and most advanced technology.
Apple Inc.|AAPL|2024-11-01|Apple Watch Series 10|The latest iteration of Apple's smartwatch, featuring new health and fitness tracking capabilities.
Apple Inc.|AAPL|2024-11-01|AirPods 4|The newest version of Apple's wireless earbuds, offering improved sound quality and battery life.
Apple Inc.|AAPL|2024-11-01|Apple Intelligence|A personal intelligence system that uses generative models to enhance user experience.
Apple Inc.|AAPL|2024-11-01|iPad Air|A lightweight and powerful tablet designed for versatility and performance.
Apple Inc.|AAPL|2024-11-01|iPad Pro|A high-performance tablet aimed at professionals and creatives, featuring advanced capabilities.
Apple Inc.|AAPL|2024-11-01|iOS 18|The latest version of Apple's mobile operating system, introducing new features and enhancements.
Apple Inc.|AAPL|2024-11-01|macOS Sequoia|The latest version of Apple's operating system for Mac computers, featuring new functionalities.
Apple Inc.|AAPL|2024-11-01|iPadOS 18|The latest version of the operating system designed specifically for iPads, enhancing usability.
Apple Inc.|AAPL|2024-11-01|watchOS 11|The latest version of the operating system for Apple Watch, introducing new health and fitness features.
Apple Inc.|AAPL|2024-11-01|visionOS 2|The latest version of the operating system for Apple's spatial computing devices.
Apple Inc.|AAPL|2024-11-01|tvOS 18|The latest version of the operating system for Apple TV, featuring new entertainment options.
Microsoft|MSFT|2024-07-30|Copilot for Microsoft 365|Combines AI with business data in the Microsoft Graph and Microsoft 365 applications to help organizations empower their employees.
Microsoft|MSFT|2024-07-30|Copilot Pro|A consumer subscription service that offers faster and more powerful AI assistance in Microsoft 365 apps and on the web.
Microsoft|MSFT|2024-07-30|Copilot Studio|Allows customers to customize Copilot for Microsoft 365 or build their own Copilot.
Microsoft|MSFT|2024-07-30|Copilot for Sales, Copilot for Service, and Copilot for Finance|Role-based extensions of Microsoft Copilot that bring together the power of Copilot for Microsoft 365 with role-specific insights and workflow assistance to streamline business processes.
Microsoft|MSFT|2024-07-30|Windows 365|Enables users to stream a full Windows experience from the Microsoft Cloud to any device.
Microsoft|MSFT|2024-07-30|Copilot+ PCs|A new class of Windows 11 PCs that are powered by a neural processing unit, using on-device AI for enhanced performance and features.
Microsoft|MSFT|2024-07-30|Microsoft Fabric|An end-to-end, unified analytics platform that brings together all the data and analytics tools that organizations need.
Microsoft|MSFT|2024-07-30|Copilot for Security|An AI cybersecurity product that enables security professionals to respond to cyberthreats quickly.
Microsoft|MSFT|2024-07-30|Activision Blizzard|A leader in game development and an interactive entertainment content publisher, acquired to accelerate growth in Microsoft's gaming business.
Nvidia|NVDA|2025-02-26|NVIDIA Blackwell architecture|A full set of data center scale infrastructure that includes GPUs, CPUs, DPUs, interconnects, switch chips and systems, and networking adapters, excelling at processing cutting edge generative AI and accelerated computing workloads with market leading performance and efficiency.
Nvidia|NVDA|2025-02-26|NVIDIA GeForce RTX 50 Series|A family of desktop and laptop GPUs that introduced neural graphics, combining AI models with traditional rendering to unlock a new era of graphics innovation, featuring the next generation of DLSS technology powered by a transformer model architecture.
Nvidia|NVDA|2025-02-26|NVIDIA AI Enterprise|A comprehensive suite of enterprise-grade AI software designed to simplify the development and deployment of production-grade, end-to-end generative AI applications.
Nvidia|NVDA|2025-02-26|NVIDIA DGX Cloud|A fully managed AI-training-as-a-service platform which includes cloud-based infrastructure and software for AI, customizable pretrained AI models, and access to NVIDIA experts.
Nvidia|NVDA|2025-02-26|NVIDIA Omniverse|A development platform and operating system for building and running virtual world simulation applications, available as a software subscription for enterprise use and free for individual use.
Nvidia|NVDA|2025-02-26|NVIDIA DRIVE Hyperion|A complete end-to-end solution for the autonomous vehicle market, consisting of high-performance, energy efficient computing hardware and a modular software platform for autonomous driving, mapping, and parking services.
Alphabet Inc. (Class A)|GOOGL|2025-02-05|Gemini|A natively multimodal AI model that can generalize and seamlessly understand, operate across, and combine different types of information including text, code, audio, image, and video.
Alphabet Inc. (Class A)|GOOGL|2025-02-05|Gemini 2.0|The most capable model yet, powering AI features across Google's products and services.
Alphabet Inc. (Class A)|GOOGL|2025-02-05|AlphaFold 3|An AI system that predicts the structure and interactions of all the molecules in life's processes, building on previous models.
Alphabet Inc. (Class A)|GOOGL|2025-02-05|NotebookLM|Helps users understand complex information by summarizing sources and providing relevant quotes.
Alphabet Inc. (Class A)|GOOGL|2025-02-05|Gemini for Google Workspace|Helps users write, organize, visualize, accelerate workflows, and have richer meetings.
Alphabet Inc. (Class A)|GOOGL|2025-02-05|Pixel 9 series|The latest generation of Pixel devices built with Gemini Nano, offering AI-assistive experiences.
Alphabet Inc. (Class A)|GOOGL|2025-02-05|Pixel Watch 3|The latest version of Google's smartwatch, incorporating advanced features.
Alphabet Inc. (Class A)|GOOGL|2025-02-05|Gemini app|Allows users to collaborate with new AI features that include image generation capabilities, coding support, and app integration.
Alphabet Inc. (Class A)|GOOGL|2025-02-05|Project Astra|Research prototype exploring the future capabilities of a universal AI assistant.
Alphabet Inc. (Class A)|GOOGL|2025-02-05|Project Mariner|An early prototype capable of taking actions in Chrome as an experimental extension.
Alphabet Inc. (Class C)|GOOG|2025-02-05|Gemini|A natively multimodal AI model that can generalize and seamlessly understand, operate across, and combine different types of information including text, code, audio, image, and video.
Alphabet Inc. (Class C)|GOOG|2025-02-05|Gemini 2.0|The most capable model yet, powering AI features across Google's products and services.
Alphabet Inc. (Class C)|GOOG|2025-02-05|AlphaFold 3|An AI system that predicts the structure and interactions of all the molecules in life's processes, built on previous models.
Alphabet Inc. (Class C)|GOOG|2025-02-05|NotebookLM|Helps users understand complex information by summarizing sources and providing relevant quotes.
Alphabet Inc. (Class C)|GOOG|2025-02-05|Gemini for Google Workspace|Helps users write, organize, visualize, accelerate workflows, and have richer meetings.
Alphabet Inc. (Class C)|GOOG|2025-02-05|Pixel 9 series|The latest generation of Pixel devices built with Gemini Nano, offering AI-assistive experiences.
Alphabet Inc. (Class C)|GOOG|2025-02-05|Pixel Watch 3|The latest version of Google's smartwatch, incorporating advanced features.
Alphabet Inc. (Class C)|GOOG|2025-02-05|Project Astra|Research prototype exploring the future capabilities of a universal AI assistant.
Alphabet Inc. (Class C)|GOOG|2025-02-05|Project Mariner|An early prototype capable of taking actions in Chrome as an experimental extension.
Meta Platforms|META|2025-01-30|WhatsApp Channels|A one-to-many broadcast service designed to help people follow information from people and organizations that are important to them.
Meta Platforms|META|2025-01-30|Ray-Ban Meta AI glasses|Glasses that feature Meta AI, an advanced conversational assistant, and other features such as hands-free interaction.
Meta Platforms|META|2025-01-30|Orion prototype|A pair of true AR glasses that overlay content on top of the physical world, featuring an industry-leading field of view and a comfortable glasses form factor.
Meta Platforms|META|2025-01-30|Meta Quest devices|Virtual reality devices that enable a range of social experiences, including gaming, fitness, and entertainment.
Meta Platforms|META|2025-01-30|Meta AI|An assistant available across Meta's apps, designed to help people learn, get things done, create content, and connect with others.
Meta Platforms|META|2025-01-30|Threads|An application for text-based updates and public conversations, where communities come together to discuss topics of interest.
Berkshire Hathaway|BRK.B|2025-02-24|Jazwares|A leading global toy and consumer products manufacturer with a robust portfolio of owned and licensed brands, such as Squishmallows, BLDR, Pokémon, Hello Kitty, Star Wars, Disney, BumBumz, and Adopt Me. In addition to toys, offerings also include virtual games, costumes, and products for pets.
Berkshire Hathaway|BRK.B|2025-02-24|Pilot Travel Centers|Operates travel centers and fuel-only retail locations across the U.S. and in five Canadian provinces, primarily under the names Pilot or Flying J, as well as large wholesale fuel and fuel marketing businesses in the U.S.
Broadcom|AVGO|2024-12-20|VMware Cloud Foundation|A private cloud platform that integrates compute, storage, networking, and management into a single solution, providing license portability and enabling customers to modernize infrastructure and accelerate developer productivity with greater resilience and security.
Broadcom|AVGO|2024-12-20|Seagate SoC Operations|Acquired certain assets related to the design, development, and manufacture of System-on-Chip (SoC) operations to strengthen the portfolio of SoC products.
Tesla, Inc.|TSLA|2025-01-30|Cybertruck|A full-size electric pickup truck with a stainless steel exterior that has the utility and strength of a truck while featuring the speed of a sports car. First deliveries began in November.
Tesla, Inc.|TSLA|2025-01-30|Tesla Semi|A commercial electric vehicle that began early production and deliveries in 2023.
Tesla, Inc.|TSLA|2025-01-30|Cybercab|A purpose-built Robotaxi product leveraging developments in proprietary Full Self-Driving (FSD) technology.
Tesla, Inc.|TSLA|2025-01-30|Powerwall 3|An energy storage product that is part of the company's efforts to ramp production and increase market penetration.
Lilly (Eli)|LLY|2025-02-19|LillyDirect|A direct-to-consumer digital health care platform designed to provide patients in the U.S. living with obesity, migraine, and diabetes with tools to help them access care from independent healthcare providers, as well as the option for home delivery of select prescribed Lilly medicines through third-party pharmacies.
Lilly (Eli)|LLY|2025-02-19|Zepbound|For the treatment of adults with obesity or overweight with at least one weight-related comorbid condition in combination with a reduced-calorie diet and increased physical activity; and for the treatment of moderate to severe obstructive sleep apnea in adults with obesity in combination with a reduced-calorie diet and increased physical activity.
Lilly (Eli)|LLY|2025-02-19|Mounjaro|A glucose-dependent insulinotropic polypeptide and glucagon-like peptide-1 receptor agonist, for the treatment of adults with type 2 diabetes in combination with diet and exercise to improve glycemic control.
Lilly (Eli)|LLY|2025-02-19|Kisunla|For adults with early symptomatic Alzheimer's disease with confirmed amyloid pathology and with mild cognitive impairment or mild dementia stage of disease.
Lilly (Eli)|LLY|2025-02-19|Jaypirca|For the treatment of adult patients with relapsed or refractory mantle cell lymphoma after at least two lines of systemic therapy, including a BTK inhibitor; and for the treatment of adult patients with chronic lymphocytic leukemia or small lymphocytic lymphoma who have received at least two prior lines of therapy, including a BTK inhibitor and a BCL-2 inhibitor.
Lilly (Eli)|LLY|2025-02-19|Omvoh|For the treatment of moderately to severely active ulcerative colitis in adults and for the treatment of moderately to severely active Crohn's disease in adults.
Lilly (Eli)|LLY|2025-02-19|Ebglyss|For the treatment of adult and adolescent patients 12 years or older with moderate to severe atopic dermatitis.
Lilly (Eli)|LLY|2025-02-19|Donanemab|Submitted for regulatory review in the EU for the treatment of early Alzheimer's disease.
Lilly (Eli)|LLY|2025-02-19|Imlunestrant|Submitted for regulatory review in the U.S., the EU, and Japan for the treatment of ER-positive HER2-negative metastatic breast cancer.
Walmart|WMT|2025-03-14|VIZIO Holding Corp.|Acquired in December for net cash consideration of $1.9 billion, VIZIO collects certain consumer data, including television viewing data.
Walmart|WMT|2025-03-14|ONE|A fintech venture that offers various services such as money transfers, digital payment platforms, bill payment, money orders, check cashing, prepaid access, co-branded credit cards, installment lending, and earned wage access.
Visa Inc.|V|2024-11-13|Visa+|Visa+ enables transfers between participating P2P apps, providing reach, flexibility, and convenience to P2P payment experiences.
Visa Inc.|V|2024-11-13|Accounts Receivable Manager|A virtual card automation solution in the U.S. designed to streamline accounts receivable processes.
Visa Inc.|V|2024-11-13|Visa Token Service (VTS)|Enhances the digital ecosystem through improved authorization, reduced fraud, and improved consumer experience by replacing 16-digit Visa account numbers with a token.
Visa Inc.|V|2024-11-13|Click to Pay|Provides a simplified and more consistent cardholder checkout experience online by removing time-consuming key entry of personal information.
Visa Inc.|V|2024-11-13|Visa Commercial Solutions|A suite of tailored solutions for businesses to manage working capital and drive efficiency in B2B payments.
Visa Inc.|V|2024-11-13|Visa Direct|Facilitates domestic and cross-border money movement, enabling clients to collect, convert, hold, and send funds across Visa's network.
Visa Inc.|V|2024-11-13|Visa Protect|A suite of solutions designed to reduce fraud across immediate account-to-account and card-not-present payments.
Visa Inc.|V|2024-11-13|Visa Protect for A2A Payments|The first fraud prevention solution built specifically for real-time non-card payments.
Visa Inc.|V|2024-11-13|Visa Deep Authorization|An AI-powered transaction risk scoring solution tailored to better manage card-not-present payments.
Mastercard|MA|2025-02-12|Mastercard Move|A collection of money movement capabilities that provides solutions for money transfers to consumers from consumers, businesses or governments.
Mastercard|MA|2025-02-12|Alias-Based Remittances and Payouts platform|Designed to remove the friction of manually capturing required information to complete cross-border remittances and disbursements, simplifying the experience for both senders and receivers.
Mastercard|MA|2025-02-12|Tap on Phone acceptance technology|Enables businesses of all sizes to accept payments from any contactless card or mobile wallet directly from their device, providing a turnkey and cost-effective solution without any additional hardware required.
Mastercard|MA|2025-02-12|Mastercard Digital First program|Enables issuing customers to offer their cardholders a fully digital payment experience with an optional physical card, securing purchases and managing alerts, controls, and benefits.
Mastercard|MA|2025-02-12|Click to Pay|A checkout experience designed to provide consumers convenience and security in a digital environment, making it easier for merchants to implement secure digital payments.
ExxonMobil|XOM|2025-02-19|Proxxima TM systems|Advanced polyolefin thermoset resin that uses components of gasoline and catalyst technology to create a material that is lighter, stronger, and more durable than conventional products, providing alternatives for the construction, coatings, and transportation industries.
ExxonMobil|XOM|2025-02-19|Low Carbon Solutions|A business unit focused on developing and deploying technologies for carbon capture and storage, hydrogen, lower-emission fuels, and lithium.
