Ticker,Company,CIK,MarketCap
AAPL,Apple Inc.,0000320193,3259495350272
MSFT,Microsoft,0000789019,2849221378048
NVDA,Nvidia,0001045810,2824055816192
AMZN,Amazon,0001018724,2107776434176
GOOGL,Alphabet Inc. (Class A),0001652044,2047465095168
GOOG,Alphabet Inc. (Class C),0001652044,2047451856896
META,Meta Platforms,0001326801,1569754316800
BRK.B,Berkshire Hathaway,0001067983,1070878359552
AVGO,Broadcom,0001730168,913255825408
TSLA,"Tesla, Inc.",0001318605,797986390016
LLY,Lilly (Eli),0000059478,738169978880
WMT,Walmart,0000104169,684444811264
V,Visa Inc.,0001403161,642051670016
JPM,JPMorgan Chase,0000019617,637233463296
MA,Mastercard,0001141391,478318526464
XOM,ExxonMobil,0000034088,473530335232
UNH,UnitedHealth Group,0000731766,440077090816
ORCL,Oracle Corporation,0001341439,423130234880
COST,Costco,0000909832,411373207552
PG,Procter & Gamble,0000080424,394802364416
NFLX,Netflix,0001065280,393399533568
JNJ,Johnson & Johnson,0000200406,392444116992
ABBV,AbbVie,0001551152,374360113152
HD,Home Depot (The),0000354950,362309287936
BAC,Bank of America,0000070858,303427747840
KO,Coca-Cola Company (The),0000021344,300811976704
TMUS,T-Mobile US,0001283699,291840163840
CRM,Salesforce,0001108524,273481367552
CVX,Chevron Corporation,0000093410,268790808576
CSCO,Cisco,0000858877,240527409152
MRK,Merck & Co.,0000310158,235805835264
PM,Philip Morris International,0001413329,235281432576
IBM,IBM,0000051143,231472922624
WFC,Wells Fargo,0000072971,226654928896
ABT,Abbott Laboratories,0000001800,225947205632
MCD,McDonald's,0000063908,213909618688
LIN,Linde plc,0001707925,213363720192
GE,GE Aerospace,0000040545,209291542528
PEP,PepsiCo,0000077476,203215159296
ACN,Accenture,0001467373,202861920256
PLTR,Palantir Technologies,0001321655,196189356032
TMO,Thermo Fisher Scientific,0000097745,193402863616
ADBE,Adobe Inc.,0000796343,190745821184
T,AT&T,0000732717,184622792704
MS,Morgan Stanley,0000895421,183866048512
AXP,American Express,0000004962,183185211392
VZ,Verizon,0000732712,179291127808
DIS,Walt Disney Company (The),0001744489,178537332736
ISRG,Intuitive Surgical,0001035267,177365516288
NOW,ServiceNow,0001373715,174097465344
BX,Blackstone Inc.,0001393818,171270471680
RTX,RTX Corporation,0000101829,170838114304
QCOM,Qualcomm,0000804328,168996798464
AMGN,Amgen,0000318154,167876558848
GS,Goldman Sachs,0000886982,167162429440
INTU,Intuit,0000896878,165260279808
AMD,Advanced Micro Devices,0000002488,163328180224
PGR,Progressive Corporation,0000080661,162702016512
CAT,Caterpillar Inc.,0000018230,161603141632
TXN,Texas Instruments,0000097476,159872598016
NEE,NextEra Energy,0000753308,149998632960
UBER,Uber,0001543151,148737507328
SPGI,S&P Global,0000064040,147208437760
DHR,Danaher Corporation,0000313616,146486968320
PFE,Pfizer,0000078003,145707302912
BKNG,Booking Holdings,0001075531,144403939328
UNP,Union Pacific Corporation,0000100885,143511896064
BSX,Boston Scientific,0000885725,142294695936
GILD,Gilead Sciences,0000882095,141957447680
BLK,BlackRock,0002012383,141289537536
SYK,Stryker Corporation,0000310764,138833707008
SCHW,Charles Schwab Corporation,0000316709,134603169792
HON,Honeywell,0000773840,134110781440
CMCSA,Comcast,0001166691,133054087168
TJX,TJX Companies,0000109198,129660608512
C,Citigroup,0000831001,128050413568
DE,Deere & Company,0000315189,127936421888
LOW,Lowe's,0000060667,127864799232
VRTX,Vertex Pharmaceuticals,0000875320,127218909184
COP,ConocoPhillips,0001163165,124375146496
BMY,Bristol Myers Squibb,0000014272,121373032448
AMAT,Applied Materials,0000006951,121102458880
ADP,Automatic Data Processing,0000008670,119693312000
BA,Boeing,0000012927,119482228736
PANW,Palo Alto Networks,0001327567,118833700864
FI,Fiserv,0000798354,118617210880
MDT,Medtronic,0001613103,117365243904
ETN,Eaton Corporation,0001551182,114479685632
CB,Chubb Limited,0000896159,113791926272
MMC,Marsh McLennan,0000062709,112866811904
SBUX,Starbucks,0000829224,112104931328
NKE,"Nike, Inc.",0000320187,108834390016
LMT,Lockheed Martin,0000936468,108630638592
PLD,Prologis,0001045609,107265515520
MU,Micron Technology,0000723125,106559217664
KKR,KKR,0001404912,105542811648
ADI,Analog Devices,0000006281,102478561280
ANET,Arista Networks,0001596532,101204877312
UPS,United Parcel Service,0001090727,98451873792
LRCX,Lam Research,0000707549,98315517952
MO,Altria,0000764180,97737056256
SO,Southern Company,0000092122,97264222208
ICE,Intercontinental Exchange,0001571949,97112973312
AMT,American Tower,0001053507,96618684416
WELL,Welltower,0000766704,94515978240
ELV,Elevance Health,0001156039,93450764288
CME,CME Group,0001156375,92231802880
DUK,Duke Energy,0001326160,90566410240
KLAC,KLA Corporation,0000319201,90414989312
WM,Waste Management,0000823768,89615351808
INTC,Intel,0000050863,89544400896
SHW,Sherwin-Williams,0000089800,87985741824
AON,Aon,0000315293,86031040512
CRWD,CrowdStrike,0001535527,85952438272
CI,Cigna,0001739940,85127544832
MDLZ,Mondelez International,0001103982,84053581824
EQIX,Equinix,0001101239,83217883136
AJG,Arthur J. Gallagher & Co.,0000354190,82797871104
GEV,GE Vernova,0001996810,82406105088
CVS,CVS Health,0000064803,81750269952
MMM,3M,0000066740,81565294592
MCK,McKesson Corporation,0000927653,80291348480
MCO,Moody's Corporation,0001059556,79532523520
PH,Parker Hannifin,0000076334,78950973440
ABNB,Airbnb,0001559720,78630584320
HCA,HCA Healthcare,0000860730,77698760704
CTAS,Cintas,0000723254,77565198336
APO,Apollo Global Management,0001858681,76969156608
TT,Trane Technologies,0001466258,76117639168
APH,Amphenol,0000820313,76092153856
REGN,Regeneron Pharmaceuticals,0000872589,75379589120
FTNT,Fortinet,0001262039,75305623552
ORLY,O'Reilly Auto Parts,0000898173,74986184704
TDG,TransDigm Group,0001260221,74332848128
ITW,Illinois Tool Works,0000049826,73756549120
CL,Colgate-Palmolive,0000021665,73703702528
ZTS,Zoetis,0001555280,72399003648
ECL,Ecolab,0000031462,72215166976
RSG,Republic Services,0001060391,72022286336
GD,General Dynamics,0000040533,70293970944
MSI,Motorola Solutions,0000068505,68924948480
EOG,EOG Resources,0000821189,68836384768
NOC,Northrop Grumman,0001133421,68773576704
WMB,Williams Companies,0000107263,68650528768
PYPL,PayPal,0001633917,67881787392
CMG,Chipotle Mexican Grill,0001058090,67834769408
PNC,PNC Financial Services,0000713676,67677208576
CEG,Constellation Energy,0001868275,67371606016
MAR,Marriott International,0001048286,67217199104
SNPS,Synopsys,0000883241,66866962432
DELL,Dell Technologies,0001571996,65988943872
CDNS,Cadence Design Systems,0000813672,65572114432
APD,Air Products,0000002969,65552551936
COF,Capital One,0000927628,64997355520
USB,U.S. Bancorp,0000036104,64937857024
WDAY,"Workday, Inc.",0001327811,64284221440
BDX,Becton Dickinson,0000010795,64266559488
SPG,Simon Property Group,0001063761,62524215296
EMR,Emerson Electric,0000032604,62502678528
ROP,Roper Technologies,0000882835,60825010176
AZO,AutoZone,0000866787,59403784192
KMI,Kinder Morgan,0001506307,58926379008
FDX,FedEx,0001048911,58649628672
OKE,ONEOK,0001039684,58044887040
BK,BNY Mellon,0001390777,57983582208
AFL,Aflac,0000004977,57222303744
TRV,Travelers Companies (The),0000086312,57132941312
CARR,Carrier Global,0001783180,56530731008
CSX,CSX Corporation,0000277948,55986020352
RCL,Royal Caribbean Group,0000884887,55806586880
HLT,Hilton Worldwide,0001585689,54952349696
AEP,American Electric Power,0000004904,54899404800
SLB,Schlumberger,0000087347,54462390272
MET,MetLife,0001099219,53939634176
PCAR,Paccar,0000075362,53703094272
ADSK,Autodesk,0000769397,53644050432
PSA,Public Storage,0001393311,53229985792
MNST,Monster Beverage,0000865752,52939849728
FCX,Freeport-McMoRan,0000831259,52855431168
ALL,Allstate,0000899051,52541403136
NSC,Norfolk Southern,0000702165,52297199616
PAYX,Paychex,0000723531,52212736000
TFC,Truist Financial,0000092230,52005146624
DLR,Digital Realty,0001297996,51989291008
JCI,Johnson Controls,0000833444,51939737600
NXPI,NXP Semiconductors,0001413447,51852607488
HWM,Howmet Aerospace,0000004281,51814592512
CPRT,Copart,0000900075,51241574400
PSX,Phillips 66,0001534701,50546397184
O,Realty Income,0000726728,50254757888
CHTR,Charter Communications,0001091667,49646313472
COR,Cencora,0001140859,49203101696
NEM,Newmont,0001164727,49164902400
TGT,Target Corporation,0000027419,48873226240
AMP,Ameriprise Financial,0000820027,48185815040
AIG,American International Group,0000005272,47692103680
GM,General Motors,0001467858,47660597248
GWW,W. W. Grainger,0000277135,46643884032
KMB,Kimberly-Clark,0000055785,46421331968
D,Dominion Energy,0000715957,45772124160
CMI,Cummins,0000026172,45466337280
SRE,Sempra,0001032208,44917960704
KDP,Keurig Dr Pepper,0001418135,44514967552
HES,Hess Corporation,0000004447,44403298304
KVUE,Kenvue,0001944048,44092305408
FAST,Fastenal,0000815556,43576541184
FICO,Fair Isaac,0000814547,43483742208
OXY,Occidental Petroleum,0000797468,43296010240
YUM,Yum! Brands,0001041061,43093348352
MPC,Marathon Petroleum,0001510295,42860421120
EXC,Exelon,0001109357,42832424960
KR,Kroger,0000056873,42763419648
AXON,Axon Enterprise,0001069183,42747371520
TEL,TE Connectivity,0001385157,42718179328
FANG,Diamondback Energy,0001539838,42417577984
MSCI,MSCI,0001408198,42325774336
BKR,Baker Hughes,0001701605,42059956224
NDAQ,"Nasdaq, Inc.",0001120193,41974087680
ROST,Ross Stores,0000745732,41742614528
GRMN,Garmin,0001121788,41484226560
CCI,Crown Castle,0001051470,41412845568
VST,Vistra Corp.,0001692819,41326489600
DHI,D. R. Horton,0000882184,41281064960
DFS,Discover Financial,0001393612,41177673728
AME,Ametek,0001037868,40890679296
TRGP,Targa Resources,0001389170,40794734592
CTVA,Corteva,0001755672,40447803392
VRSK,Verisk Analytics,0001442145,40403697664
EW,Edwards Lifesciences,0001099800,40277032960
URI,United Rentals,0001067701,39794880512
PEG,Public Service Enterprise Group,0000788784,39670497280
OTIS,Otis Worldwide,0001781335,39616217088
XEL,Xcel Energy,0000072903,39557976064
VLO,Valero Energy,0001035002,39428943872
CTSH,Cognizant,0001058290,39319498752
LHX,L3Harris,0000202058,39223259136
GLW,Corning Inc.,0000024741,38888005632
LULU,Lululemon Athletica,0001397187,38543417344
GEHC,GE HealthCare,0001932393,38316998656
CBRE,CBRE Group,0001138118,38176706560
F,Ford Motor Company,0000037996,38009487360
PRU,Prudential Financial,0001137774,37555859456
PWR,Quanta Services,0001050915,36916121600
TTWO,Take-Two Interactive,0000946581,36239925248
ED,Consolidated Edison,0001047862,36239310848
KHC,Kraft Heinz,0001637459,36208193536
FIS,Fidelity National Information Services,0001136893,36082622464
SYY,Sysco,0000096021,36026896384
PCG,PG&E Corporation,0001004980,35579867136
ETR,Entergy,0000065984,35569328128
EA,Electronic Arts,0000712515,35475320832
IT,Gartner,0000749251,35316400128
ODFL,Old Dominion,0000878927,34972151808
HSY,Hershey Company (The),0000047111,34600136704
A,Agilent Technologies,0001090872,34169595904
